松沢,まつざわ,32000,38.15
板垣,いたがき,32000,24.72
野上,のがみ,31800,25.43
前原,まえばる,31600,15.3
三原,みはら,31600,10.0
牧,まき,31600,3.61
坂上,さかうえ,31500,18.64
川井,かわい,31300,16.18
立花,りっか|たちばな,31300,8.92
田崎,たざき|たさき,31200,302.75
葛西,かさい,31200,13.28
平尾,ひらお,31100,19.82
松木,まつき,31100,15.21
岩佐,いわさ,31100,25.38
外山,とやま|たてやま,31000,234.04
高尾,たかお,30800,12.57
成瀬,なるせ,30700,18.28
長谷,はせ|おさたに,30700,14.44
小室,こむろ,30700,2.59
三田,みた|さんた|さんだ,30600,5.37
染谷,そめや,30600,56.65
阪本,さかもと,30600,36.87
滝本,たきもと,30600,59.73
長瀬,ながせ,30500,13.95
宇佐美,うさみ,30400,24.22
野本,のもと,30300,40.0
小寺,こでら|こてら,30200,312.8
塚原,つかはら,30200,43.0
板倉,いたぐら,30200,26.24
高崎,たかさき,30200,4.8
秋葉,あきば,30200,9.43
山城,やまじろ|やましろ,30100,117.86
門脇,かどわき,30100,41.51
滝口,たきぐち,30000,34.11
石垣,いしがき,30000,3.96
山野,さんや,29900,5.76
長谷部,はせべ,29900,22.72
海野,うみの|うんの,29900,22.68
井田,いだ,29800,18.67
土居,どい,29800,36.97
大倉,おおくら,29800,14.97
秦,はた|しん,29800,5.45
和泉,いずみ,29700,6.67
江崎,えざき,29700,485.29
正木,まさき,29600,46.48
仲村,なかむら,29500,19.5
今田,いまだ,29500,21.32
高梨,たかなし,29500,33.85
中澤,なかざわ,29300,16.58
椎名,しいな,29300,5.64
相川,あいかわ,29300,10.31
奥,おく,29100,0.6
平塚,ひらつか,29100,6.26
小関,おぜき|こせき,29100,52.8
島,しま,29000,0.26
宍戸,ししど,29000,35.2
岩永,いわなが,28900,52.59
藤木,ふじき,28900,11.89
都築,つづき|つづく,28900,35.39
西谷,にしたに|にしや,28800,28.33
木田,きた,28800,24.58
細井,ほそい,28700,48.71
江川,えがわ,28700,181.07
金谷,かねや,28700,22.34
金山,かなやま,28600,1.4
堀越,ほりこし,28600,37.93
小杉,こすぎ,28600,14.51
石丸,いしまる,28600,126.92
乾,いぬい,28500,3.32
田川,たがわ,28500,15.9
永山,ながやま,28500,20.95
諏訪,すわ,28500,6.38
金森,かなもり,28400,30.84
森谷,もりや|もりたに,28400,55.0
黒岩,くろいわ,28300,31.13
下川,しもかわ|おりかわ,28200,238.7
富樫,とがし,28200,42.58
小畑,おばた|こばたけ,28100,30.0
細野,ほその,28100,20.12
杉村,すぎむら,28000,20.85
布施,ふせ,27900,12.45
梅原,うめはら,27900,27.67
野原,のはら,27900,15.53
上山,かみのやま|こうやま,27900,4.89
山上,さんじょう,27800,5.39
大貫,おおぬき,27800,33.0
北田,きただ,27800,45.36
石本,いしもと,27800,38.04
米沢,よねざわ,27800,11.58
大熊,おおくま,27800,14.47
豊島,としま|とよしま,27800,3.13
小野田,おのだ,27800,22.49
宮脇,みやわき,27700,29.66
赤松,あかまつ,27700,12.94
末永,すえなが|まつえ,27700,44.44
阿久津,あくつ,27600,53.66
大矢,おおや|だいや,27500,40.49
古沢,ふるさわ,27400,93.62
宮野,みやの,27400,30.48
塩谷,しおや|えんや|しおたに,27200,26.4
今西,いまにし,27200,53.66
倉持,くらもち,27200,70.21
水田,すいでん|みずた,27100,7.63
島袋,しまぶくろ|しまぶく,27000,70.59
風間,かざま,27000,17.21
麻生,あさお|まお,26900,3.78
本橋,もとはし,26900,49.25
香川,かがわ,26900,0.78
仲田,なかた|なかだ,26900,57.39
菅沼,すがぬま,26800,47.14
坂元,さかもと,26800,32.67
生田,いくた|なまた,26800,12.94
門田,かどた|もんでん|もんだ|もんた,26800,43.28
小幡,おばた,26700,45.99
喜多,きた,26700,10.56
井川,いかわ,26600,3.52
西口,にしぐち,26500,3.59
大庭,おおば,26500,42.58
大和田,おおわだ,26400,20.47
中林,なかばやし,26300,37.39
小久保,こくぼ,26200,23.04
梅本,うめもと,26200,45.99
平良,ひらら|たいら,26100,41.51
岩渕,いわのぶ,26100,75.86
須賀,すが|すか,26100,20.92
浦田,うらた,26100,42.04
富岡,とみおか,26100,11.19
佐川,さかわ,26100,95.65
浜本,はまもと,26000,112.82
岩間,いわま,26000,49.07
杉野,すぎの,25900,35.2
大滝,おおたき,25900,13.61
矢口,やぐち,25900,15.94
土橋,どばし|つちはし|つちばし,25900,36.77
日下,くさか,25800,44.59
木本,もくほん,25800,4.09
川辺,かわべ,25800,15.92
木戸,きど,25800,23.0
海老原,えびはら,25800,67.01
永島,ながしま|えいじま,25700,51.56
波多野,はたの,25700,54.55
金丸,かなまる|かねまる,25500,33.17
長崎,ながさき,25500,0.63
羽田,はねだ,25400,3.85
砂川,すながわ|いさがわ,25400,24.67
小椋,おぐら,25300,29.73
目黒,めぐろ,25200,2.23
平沢,ひらさわ,25200,12.57
森脇,もりわき,25200,44.75
立川,たちかわ|たてかわ,25200,3.56
小沼,こぬま|おぬま,25200,62.86
雨宮,あまみや,25200,18.44
真田,さなだ,25100,11.38
浅川,あさかわ,25100,21.93
白鳥,しらとり|しろとり|はくちょう,25100,6.35
依田,よだ,25100,54.32
山形,やまがた,25100,0.5
深田,ふかだ,25000,15.68
板橋,いたばし,25000,2.7
神崎,かんざき,25000,12.69
濱田,はまた,25000,18.51
石坂,いしざか,25000,23.66
影山,かげやま,25000,380.4
大畑,おおはた,24900,47.14
曽根,そね,24900,14.27
寺尾,てらお,24900,28.14
矢田,やだ,24800,21.36
松元,まつもと,24700,58.93
山元,やまもと,24600,36.67
北沢,きたざわ,24500,19.79
高倉,たかくら,24400,20.72
三枝,さえぐさ|みえだ,24400,20.92
勝又,かつまた,24400,97.06
赤木,あかぎ,24300,17.19
橋爪,はしづめ,24300,40.62
梅津,うめづ,24200,41.12
清田,きよた|せいだ|せいた,24200,21.67
宇田川,うだがわ,24200,371.83
丹野,たんの,24100,69.47
宇都宮,うつのみや,24100,3.86
柳川,やながわ,24000,16.54
芦田,あしだ,24000,55.0
尾上,おがみ|おのうえ|おのえ,24000,28.51
瀬尾,せお,23900,33.08
岩城,いわき|いわしろ,23900,290.75
櫻井,さくらい,23800,7.81
神野,じんの|かんの|かみの|しんの|こうの,23800,32.35
横尾,よこお,23700,30.91
柳原,やなぎはら|やなはら,23600,25.19
池内,いけうち,23600,26.14
鶴岡,つるおか,23600,10.91
江原,えばら,23600,19.05
坂野,さかの|ばんの,23500,56.17
栗林,くりばやし,23500,24.22
西脇,にしわき,23500,17.14
桑田,そうでん,23500,8.46
久米,くめ,23400,8.41
角,かく|すみ|つの|がく,23400,0.82
結城,ゆうき|ゆいらぎ,23400,9.57
吉澤,よしさわ,23400,18.64
川西,かわにし,23300,6.6
日比野,ひびの,23300,44.75
森口,もりぐち,23300,24.09
西島,にしじま,23300,30.84
大嶋,おおしま,23200,55.7
梅村,うめむら,23200,75.0
小堀,こぼり,23200,41.77
上杉,うえすぎ,23200,8.86
手島,てじま,23100,24.77
